met,altitude_km,velocity_ms,dynamic_pressure_kpa,thrust_kn,pitch_deg,booster_active,booster_alt_km,booster_vel_ms,booster_thrust_kn
2.78,0.283,27.24,0.45,240.2,89.91,0,0.0,0.0,0.0
2.84,0.284,27.79,0.47,240.0,89.91,0,0.0,0.0,0.0
2.88,0.286,28.16,0.48,240.6,89.9,0,0.0,0.0,0.0
2.94,0.287,28.71,0.5,240.7,89.9,0,0.0,0.0,0.0
2.98,0.288,29.07,0.51,240.1,89.9,0,0.0,0.0,0.0
3.04,0.29,29.62,0.53,239.9,89.89,0,0.0,0.0,0.0
3.08,0.291,29.99,0.55,239.8,89.89,0,0.0,0.0,0.0
3.14,0.293,30.54,0.57,240.0,89.89,0,0.0,0.0,0.0
3.18,0.294,30.91,0.58,240.3,89.88,0,0.0,0.0,0.0
3.24,0.296,31.46,0.6,240.3,89.88,0,0.0,0.0,0.0
3.28,0.298,31.83,0.62,240.5,89.88,0,0.0,0.0,0.0
3.34,0.299,32.39,0.64,240.8,89.87,0,0.0,0.0,0.0
3.38,0.301,32.76,0.66,240.6,89.87,0,0.0,0.0,0.0
